ID,Gender,Year Group,How would you describe your personality?,What time do you typically go to bed on weeknights?,Where do you prefer to do homework/study?,What do you enjoy doing for fun?,Do you enjoy having friends over in your room?,How would your friends describe you in one word?,cluster
466,Male,Class of 2026,I am introverted,10PM or earlier,In the room,Relaxing/Sleeping,Nope!,Chill,2
467,Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,0
468,Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Fun,15
471,Male,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Friendly,1
472,Male,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,4
476,Male,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,5
477,Male,Class of 2026,I am extroverted,After Midnight (12AM),Away from the room,Hanging out with friends,"Not really, but I don't mind",Fun,10
478,Male,Class of 2024,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Going for events on/off-campus,"Not really, but I don't mind",Responsible,8
479,Male,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill,9
480,Male,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Going for events on/off-campus,"Yup, but not always",Organized,0
488,Male,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized,2
490,Male,Class of 2027,I am introverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Chill,0
491,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,12
492,Male,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Going for events on/off-campus,"Yup, but not always",Chill,0
494,Male,Class of 2026,I am introverted,After Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Fun,1
496,Male,Class of 2026,I am extroverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind","I see more than just one ,I have about 20% of everything there",1
